Equipment_ID,Category,Item_Name,Vendor,Daily_Rate_USD,Mobilization_USD,Demobilization_USD,Standby_Rate_USD,Min_Rental_Days,Specifications,Typical_Use
TOOL-018,Packer,Retrievable Packer 5.5in,Weatherford,0,12000,0,0,0,"Mechanical set, retrievable",Temporary isolation
TOOL-019,Plugs,Bridge Plug 7in,Halliburton,0,8500,0,0,0,"Composite, drillable",Temporary barrier
TOOL-020,Plugs,Cement Retainer 4.5in,Baker Hughes,0,6500,0,0,0,"Mechanical, 5000psi",Squeeze operations
CONSUMABLE-001,Fluids,Completion Brine,Tetra,0,12000,0,0,0,"CaCl2, 11.6 ppg, 500bbl",Completion fluid
CONSUMABLE-002,Fluids,Kill Fluid,Baker Hughes,0,18000,0,0,0,"CaCl2/CaBr2, 14.2 ppg, 750bbl",Well control
CONSUMABLE-003,Fluids,Spacer Fluid,Halliburton,0,8500,0,0,0,"Surfactant, 9.5 ppg, 200bbl",Cement operations
CONSUMABLE-004,Cement,Class G Cement,Schlumberger,0,15000,0,0,0,"15.8 ppg, 200 sacks",Plugging, squeeze
CONSUMABLE-005,Cement,Lightweight Cement,Halliburton,0,18000,0,0,0,"12.5 ppg, microspheres, 150 sacks",Low pressure zones
SL-ST-H,Slickline,Slickline Stem,Schlumberger,450,2000,1000,225,1,"2.125in OD, 15kpsi, 50-80 lb/ft",Weight bars for slickline operations
SL-JAR-S,Slickline,Slickline Jar,Halliburton,650,2500,1200,325,1,"1.75in OD, 10kpsi, 20in stroke",Jarring operations
SL-JN-K,Slickline,Knuckle Joint,Baker Hughes,350,1500,800,175,1,"1.5in OD, 10kpsi, 15deg flex",Deviation navigation
SL-RT-JDC,Slickline,Running Tool JDC,Schlumberger,550,2200,1100,275,1,"2.125in OD, 15kpsi, JD Profile",Setting plugs and nipples
SL-PT-JU,Slickline,Pulling Tool JU,Halliburton,550,2200,1100,275,1,"1.5in OD, 15kpsi, JU Profile",Pulling plugs and nipples
SL-FC-OV,Slickline,Fishing Overshot,Baker Hughes,750,3000,1500,375,1,"2.125in OD, 15kpsi, Slip Type",Fishing slickline tools
SL-FN-GS,Slickline,Firing Head GS,Schlumberger,850,3500,1800,425,1,"1.75in OD, 15kpsi, GS Profile",Firing setting tools
SL-MP-410,Slickline,Material Package 410,Generic,0,5000,0,0,0,"1.75in OD, 10kpsi, AISI 410 Stainless",Material specification
CT-CN-R175,Coiled Tubing,CT Connector R175,Baker Hughes,950,4000,2000,475,2,"1.75in OD, 15kpsi, Roll Grip",BHA connections
CT-DV-DF,Coiled Tubing,CT Safety Valve,Halliburton,1850,8000,4000,925,2,"1.75in OD, 20kpsi, Dual Flapper",Well control safety
CT-REL-H,Coiled Tubing,CT Release Tool,Weatherford,1250,5000,2500,625,2,"2.125in OD, 15kpsi, 4.0 BPM Shear",Emergency release
CT-MTR-23,Coiled Tubing,CT Motor 2-3/8,Schlumberger,2500,12000,6000,1250,3,"2.375in OD, 10kpsi, 280 ft-lb torque",Downhole milling motor
CT-JR-HYD,Coiled Tubing,CT Hydraulic Jar,Baker Hughes,1650,7000,3500,825,2,"2.125in OD, 15kpsi, Up-Jar",Jarring stuck tools
CT-ACCEL-15,Coiled Tubing,CT Accelerator,Halliburton,1450,6000,3000,725,2,"1.5in OD, 10kpsi, N2 Charged",Impact tool
CT-ML-CS,Coiled Tubing,CT Carbide Mill,Weatherford,1100,4500,2200,550,1,"2.875in OD, 10kpsi, Carbide Inserts",Milling operations
CT-FS-SW,Coiled Tubing,CT Fishing Tool,Schlumberger,1350,5500,2750,675,2,"2.5in OD, 15kpsi, Swivel Grapple",Fishing BHA components
CT-TH-IF,Coiled Tubing,CT Thread Adapter,Baker Hughes,450,2000,1000,225,1,"1.5in OD, 20kpsi, 1-1/2 IF",Thread conversion
CT-MP-718,Coiled Tubing,Material Package 718,Generic,0,15000,0,0,0,"20kpsi burst, 150kpsi yield, Inconel 718",HPHT material specification
EL-HS-ST,Electric Line,E-Line Head Standard,Schlumberger,1200,5000,2500,600,2,"1.75in OD, 15kpsi, 1.5kV/5A",Standard cable head
EL-HS-HP,Electric Line,E-Line Head Heavy,Halliburton,1650,7000,3500,825,2,"2.125in OD, 25kpsi, 2kV/8A",High power cable head
EL-SET-E4,Electric Line,E-Line Setting Tool,Baker Hughes,2200,10000,5000,1100,2,"3.125in OD, 60k lb force, Pyrotechnic",Setting packers and plugs
EL-PER-SL-4,Electric Line,E-Line Perf Gun 4in,Schlumberger,1800,8500,4250,900,2,"4.0in OD, 20kpsi, 4 SPF",Through-casing perforating
EL-LOG-PLT,Electric Line,Production Logging Tool,Halliburton,2500,12000,6000,1250,3,"1.75in OD, 15kpsi, 100 kbps",Flow profiling
EL-LOG-PT,Electric Line,Pressure/Temp Gauge,Baker Hughes,1950,9000,4500,975,2,"1.375in OD, 25kpsi, Quartz Transducer",Precision pressure/temp
EL-CBL-HD,Electric Line,E-Line Cable Heavy,Schlumberger,0,25000,0,0,0,"0.50in OD, 18k lb tensile, 7 conductor",HPHT cable
EL-OP-TEMP,Electric Line,HPHT Tool Rating,Generic,0,0,0,0,0,"N/A, 350F rating, High temp",Temperature environment specification
